id_partida,fecha_hora,estrategia_j1,estrategia_j2,nivel_j1,nivel_j2,ganador,motivo_victoria,duracion_segundos,torres_destruidas_j1,torres_destruidas_j2,vida_final_j1,vida_final_j2,cartas_jugadas_j1,cartas_jugadas_j2,elixir_gastado_j1,elixir_gastado_j2,tropas_invocadas_j1,tropas_invocadas_j2,danio_causado_j1,danio_causado_j2,danio_recibido_j1,danio_recibido_j2,ataques_j1,ataques_j2
PARTIDA_0378_349c68a2,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",39,2,0,7278,1959,4,4,16,17,4,4,8084,1210,1210,8084,50,15
PARTIDA_0379_f22eaf2d,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",103,2,0,6578,1959,9,9,37,35,9,9,13413,6667,6667,13413,105,80
PARTIDA_0380_e423c655,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaMenorCosto,5,5,1,"Torre Rey del Jugador 2 destruida",90,3,0,7278,0,9,9,34,31,9,9,10737,2140,2140,10737,118,28
PARTIDA_0381_cff8f08d,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",50,1,2,1518,3819,6,5,22,19,6,5,5406,9331,9331,5406,37,79
PARTIDA_0382_8a4fc421,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaMenorCosto,5,5,1,"Torre Rey del Jugador 2 destruida",66,2,1,4299,1833,8,8,26,26,8,8,9879,8207,8207,9879,71,65
PARTIDA_0383_25664847,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",67,0,2,739,7278,7,7,25,26,7,7,2222,11540,11540,2222,35,96
PARTIDA_0384_8c007e98,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",31,1,2,1959,2079,4,3,15,12,4,3,6162,6261,6261,6162,28,24
PARTIDA_0385_c8162565,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",28,2,0,7278,1959,4,4,14,13,4,4,6497,2057,2057,6497,27,31
PARTIDA_0386_70f19998,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",48,0,2,1266,7278,5,5,19,20,5,5,2009,9331,9331,2009,23,54
PARTIDA_0387_6fab9939,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",75,2,1,4359,1959,9,8,30,29,9,8,12049,5963,5963,12049,133,50
PARTIDA_0388_63cdc66e,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",75,0,2,1266,6178,7,9,27,30,7,9,7665,11886,11886,7665,79,127
PARTIDA_0389_806ec6d0,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",35,0,2,1959,6297,4,4,13,15,4,4,2149,7054,7054,2149,38,34
PARTIDA_0390_1975b6d4,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",65,0,2,1959,6711,6,6,25,23,6,6,2237,7996,7996,2237,35,51
PARTIDA_0391_4df4d691,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",68,1,3,0,3879,6,7,24,25,6,7,5575,11754,11754,5575,67,157
PARTIDA_0392_ce14037d,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",89,2,1,2829,1959,10,10,35,35,10,10,10748,9608,9608,10748,96,124
PARTIDA_0393_7b5482bb,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",61,0,2,1581,5978,6,7,23,23,6,7,5011,8940,8940,5011,67,69
PARTIDA_0394_51e2aaa0,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",107,2,0,4227,159,9,10,39,38,9,10,13945,9970,9970,13945,129,87
PARTIDA_0395_4f417bcd,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",46,0,3,0,6819,5,5,19,18,5,5,3374,11959,11959,3374,48,61
PARTIDA_0396_16375f2c,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",70,0,2,1959,5588,7,6,27,26,7,6,5595,8650,8650,5595,48,39
PARTIDA_0397_7d4df742,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",102,3,0,7278,0,9,9,36,37,9,9,16445,3814,3814,16445,98,50
PARTIDA_0398_b49b39c9,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",48,1,2,1959,5219,5,5,18,18,5,5,4040,7699,7699,4040,47,50
PARTIDA_0399_87a79988,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",71,3,0,7278,0,8,6,28,26,8,6,12841,2948,2948,12841,137,45
PARTIDA_0400_a814a067,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",177,1,3,0,2817,18,12,64,60,18,12,17325,18844,18844,17325,220,96
PARTIDA_0401_6114b263,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",75,2,0,7058,1959,6,6,26,28,6,6,10001,3794,3794,10001,57,30
PARTIDA_0402_8b329e9d,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",130,3,0,7278,0,13,10,48,44,13,10,17659,5071,5071,17659,207,65
PARTIDA_0403_e742d2ac,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",112,3,0,7278,0,11,10,42,40,11,10,15208,3906,3906,15208,198,58
PARTIDA_0404_1116abfd,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaMenorCosto,5,5,2,"Más torres restantes",179,0,2,2677,7089,15,17,60,64,15,17,10800,15744,15744,10800,114,172
PARTIDA_0405_da07b632,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",57,2,1,3279,1959,6,6,22,22,6,6,8412,6555,6555,8412,70,46
PARTIDA_0406_81cea74d,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",49,2,0,7158,1959,5,5,18,20,5,5,7013,1264,1264,7013,69,12
PARTIDA_0407_d70e0ee5,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",78,0,3,0,6252,8,7,30,28,8,7,4861,12705,12705,4861,74,71
PARTIDA_0408_47aec4fc,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaMenorCosto,5,5,1,"Torre Rey del Jugador 2 destruida",31,2,0,7245,1959,4,4,15,13,4,4,6542,1111,1111,6542,26,24
PARTIDA_0409_29661d39,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",38,2,0,7278,1859,5,4,18,15,5,4,7233,2518,2518,7233,25,22
PARTIDA_0410_c89e3437,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaMenorCosto,5,5,1,"Torre Rey del Jugador 2 destruida",85,2,0,7145,1833,8,9,30,30,8,9,8653,3993,3993,8653,77,61
PARTIDA_0411_3b2f802c,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",49,0,3,0,7278,4,5,17,19,4,5,3126,10873,10873,3126,32,67
PARTIDA_0412_b3a4d730,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaMenorCosto,5,5,1,"Torre Rey del Jugador 2 destruida",51,2,1,3978,1959,4,6,17,22,4,6,7310,5401,5401,7310,43,63
PARTIDA_0413_f413fc57,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",73,1,2,1959,5319,8,7,28,28,8,7,7318,9722,9722,7318,55,62
PARTIDA_0414_e2172ac3,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",75,1,2,1896,3619,8,7,30,27,8,7,6407,10096,10096,6407,55,137
PARTIDA_0415_845f48bc,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",34,2,0,7278,1586,4,3,16,12,4,3,9281,1078,1078,9281,35,15
PARTIDA_0416_7fee12d3,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",57,1,2,1959,4065,6,5,22,21,6,5,5302,7549,7549,5302,89,77
PARTIDA_0417_9799e836,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",31,0,2,1959,7047,4,4,13,14,4,4,1168,6345,6345,1168,25,23
PARTIDA_0418_fc70e902,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",47,0,2,1959,6378,5,5,18,18,5,5,2775,6464,6464,2775,41,53
PARTIDA_0419_0240574f,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",57,1,2,1959,5119,5,7,21,24,5,7,4569,7592,7592,4569,53,49
PARTIDA_0420_41a5639b,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",72,2,1,2599,1959,6,6,28,28,6,6,12112,7182,7182,12112,49,39
PARTIDA_0421_93b8ddca,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",109,3,0,5408,0,10,10,38,38,10,10,14891,5624,5624,14891,141,66
PARTIDA_0422_45033ceb,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",31,0,2,1653,6837,4,4,15,14,4,4,1261,7896,7896,1261,22,32
PARTIDA_0423_2149fc58,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",37,0,2,1084,7278,3,4,13,14,3,4,1153,10533,10533,1153,22,58
PARTIDA_0424_2cc60903,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",122,0,3,0,5561,13,10,44,46,13,10,4684,14021,14021,4684,66,120
PARTIDA_0425_54f3ccdd,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",82,1,3,0,4878,9,8,30,30,9,8,5024,14256,14256,5024,71,127
PARTIDA_0426_d118eb95,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",88,3,0,7278,0,8,7,33,32,8,7,14630,5338,5338,14630,130,57
PARTIDA_0427_09b6e6dc,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",122,1,3,0,5319,10,10,44,42,10,10,8534,18074,18074,8534,89,169
PARTIDA_0428_8216862f,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",97,1,2,1959,5093,10,8,36,36,10,8,8826,9548,9548,8826,120,75
PARTIDA_0429_b4619eea,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",118,0,3,0,7278,9,12,43,41,9,12,9124,16917,16917,9124,100,120
PARTIDA_0430_b93c9624,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",140,0,2,69,6818,12,11,49,48,12,11,7318,19374,19374,7318,64,129
PARTIDA_0431_144a7de8,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaMenorCosto,5,5,1,"Torre Rey del Jugador 2 destruida",135,3,0,6119,0,13,14,49,47,13,14,15706,6007,6007,15706,195,86
PARTIDA_0432_54deea42,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",29,2,0,7158,1959,3,4,11,14,3,4,6825,1201,1201,6825,33,19
PARTIDA_0433_bd9653e5,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",32,1,2,1959,5319,4,4,14,15,4,4,2390,6426,6426,2390,46,21
PARTIDA_0434_558c58ae,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",41,3,0,5718,0,5,4,18,17,5,4,10921,2640,2640,10921,47,31
PARTIDA_0435_3e76f1df,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",70,2,0,7278,1859,7,8,26,27,7,8,9900,1991,1991,9900,63,33
PARTIDA_0436_11066ea5,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",49,2,1,1964,1959,5,5,19,18,5,5,7000,7743,7743,7000,59,87
PARTIDA_0437_c2bfc410,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaMenorCosto,5,5,1,"Torre Rey del Jugador 2 destruida",105,2,1,4979,1833,11,10,39,40,11,10,11875,7315,7315,11875,127,76
PARTIDA_0438_15f9ab01,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",123,2,2,1940,1959,13,10,44,46,13,10,13300,11533,11533,13300,200,106
PARTIDA_0439_d7bcc165,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",67,3,0,7158,0,6,7,27,24,6,7,12922,3174,3174,12922,79,53
PARTIDA_0440_58fb0348,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",48,0,2,1959,7278,5,5,20,20,5,5,2277,8935,8935,2277,26,36
PARTIDA_0441_6c5c5e93,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",115,0,3,0,7125,11,13,40,42,11,13,4953,13530,13530,4953,69,165
PARTIDA_0442_9613d89a,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",86,1,2,1859,4799,7,9,33,34,7,9,6648,11442,11442,6648,61,97
PARTIDA_0443_f4fe9386,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",79,1,2,1959,5319,7,6,30,27,7,6,4276,11517,11517,4276,52,65
PARTIDA_0444_6930190b,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaMenorCosto,5,5,1,"Torre Rey del Jugador 2 destruida",146,2,1,4399,1659,12,13,52,52,12,13,17441,8924,8924,17441,143,62
PARTIDA_0445_ed6b5a56,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",48,1,2,1959,2689,5,5,20,20,5,5,5880,6712,6712,5880,46,36
PARTIDA_0446_f52b5b99,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaMenorCosto,5,5,1,"Torre Rey del Jugador 2 destruida",58,2,1,2801,1359,5,6,21,21,5,6,9722,7582,7582,9722,69,102
PARTIDA_0447_7b7e113d,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",70,1,2,1959,4299,7,8,26,26,7,8,6221,9480,9480,6221,45,54
PARTIDA_0448_57876795,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",86,3,0,6009,0,8,10,32,32,8,10,12639,7026,7026,12639,90,124
PARTIDA_0449_34ee17c2,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",36,0,2,1959,7278,5,4,16,15,5,4,2437,7344,7344,2437,34,25
PARTIDA_0450_08c2eb87,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",40,0,2,1959,6900,5,4,18,15,5,4,2655,7052,7052,2655,34,24
PARTIDA_0451_cfbd037a,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",62,2,1,5319,1959,6,7,24,24,6,7,9774,4169,4169,9774,94,59
PARTIDA_0452_1b442c3f,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",58,1,2,1239,5319,6,7,21,24,6,7,4978,7245,7245,4978,71,83
PARTIDA_0453_2d10786e,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaMenorCosto,5,5,1,"Torre Rey del Jugador 2 destruida",57,2,0,5578,1959,6,7,21,24,6,7,9099,5512,5512,9099,55,42
PARTIDA_0454_21255f0c,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",108,0,3,0,5889,11,10,39,38,11,10,7916,14457,14457,7916,88,108
PARTIDA_0455_f3f39e5b,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",46,2,0,7278,1959,5,6,18,19,5,6,8786,2836,2836,8786,50,44
PARTIDA_0456_fcb55bb4,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",60,2,1,5319,1959,6,5,23,21,6,5,9184,5207,5207,9184,41,41
PARTIDA_0457_15c7d2fc,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",45,0,2,1959,5556,6,5,19,18,6,5,3571,6955,6955,3571,55,65
PARTIDA_0458_ba2adb55,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",55,0,2,1304,6678,5,6,21,21,5,6,5298,7983,7983,5298,68,56
PARTIDA_0459_e579820a,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",92,0,3,0,7278,8,7,34,32,8,7,2418,16180,16180,2418,41,110
PARTIDA_0460_a7619b06,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",92,2,1,3739,1959,7,10,31,33,7,10,11173,8523,8523,11173,68,111
PARTIDA_0461_7a0425f4,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",122,0,2,1159,5778,13,12,46,46,13,12,6983,11549,11549,6983,92,107
PARTIDA_0462_f967a4fb,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaMenorCosto,5,5,1,"Más torres restantes",179,3,1,3305,0,18,19,63,65,18,19,19638,11145,11145,19638,212,171
PARTIDA_0463_4782282c,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",55,2,0,7278,1619,5,5,20,22,5,5,8477,1791,1791,8477,46,24
PARTIDA_0464_11067614,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaMenorCosto,5,5,1,"Torre Rey del Jugador 2 destruida",69,2,1,5319,1959,7,7,27,27,7,7,10010,4644,4644,10010,101,44
PARTIDA_0465_ac2b0a46,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",105,2,1,1979,1233,11,8,39,36,11,8,11324,10988,10988,11324,83,62
PARTIDA_0466_1f0c6036,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",51,0,2,1559,6678,5,5,20,20,5,5,2159,9814,9814,2159,31,49
PARTIDA_0467_ad8aecf4,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",71,2,0,6333,859,8,8,29,28,8,8,11571,5496,5496,11571,70,92
PARTIDA_0468_aada0cb1,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",44,2,0,7278,1959,4,4,16,18,4,4,7673,994,994,7673,38,21
PARTIDA_0469_50fb37e1,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",143,2,2,531,1959,14,13,52,50,14,13,14162,14066,14066,14162,147,136
PARTIDA_0470_63fc0d59,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",76,3,0,7278,0,6,7,27,30,6,7,11480,4744,4744,11480,68,66
PARTIDA_0471_30f5749b,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaMenorCosto,5,5,1,"Torre Rey del Jugador 2 destruida",99,2,1,5199,1959,9,8,36,34,9,8,11819,7023,7023,11819,121,69
PARTIDA_0472_2c909791,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",56,0,2,1959,5514,6,5,23,21,6,5,3247,9051,9051,3247,47,52
PARTIDA_0473_d875031a,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",130,1,3,0,4719,13,12,48,45,13,12,7336,16171,16171,7336,93,189
PARTIDA_0474_71340621,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",58,1,2,1755,4979,6,7,24,23,6,7,5503,8754,8754,5503,36,78
PARTIDA_0475_c98c68a6,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",75,3,0,7278,0,7,8,26,28,7,8,10378,2446,2446,10378,73,37
PARTIDA_0476_d44ff20e,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",48,2,0,7278,1959,6,4,19,19,6,4,8032,1622,1622,8032,68,19
PARTIDA_0477_7410fcc6,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",28,2,0,6717,1859,3,3,11,12,3,3,7022,1593,1593,7022,35,26
PARTIDA_0478_355f10b7,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",51,0,3,0,7278,6,5,22,20,6,5,3400,10091,10091,3400,44,52
PARTIDA_0479_64147333,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",84,2,1,4119,1959,7,8,31,30,7,8,11527,8131,8131,11527,77,71
PARTIDA_0480_f1b1c037,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",46,2,0,7278,1203,5,5,19,19,5,5,10387,2768,2768,10387,47,35
PARTIDA_0481_8a583667,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",40,0,2,1959,6678,5,4,17,17,5,4,3074,8338,8338,3074,56,29
PARTIDA_0482_4ea16918,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",62,2,1,3196,1959,7,7,23,25,7,7,8142,5942,5942,8142,37,74
PARTIDA_0483_4ca7e954,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",67,2,2,1644,1905,7,7,26,24,7,7,6873,10873,10873,6873,53,136
PARTIDA_0484_33186c7e,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",64,0,2,959,7047,7,7,25,26,7,7,3165,10120,10120,3165,49,79
PARTIDA_0485_48316049,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",78,2,1,4819,1959,8,7,31,27,8,7,10464,9485,9485,10464,75,100
PARTIDA_0486_6d3d88a3,2025-11-03 08:41:37,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",103,3,0,7278,0,11,10,39,38,11,10,15629,3302,3302,15629,208,52
PARTIDA_0487_f83dde49,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",75,0,2,1959,6678,6,9,26,30,6,9,1906,10590,10590,1906,26,146
PARTIDA_0488_3510cebe,2025-11-03 08:41:37,EstrategiaAleatoria,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",85,0,2,1959,6938,8,7,32,31,8,7,4033,13254,13254,4033,33,76
PARTIDA_0489_a04814fa,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",50,2,0,5628,1959,5,5,19,18,5,5,7206,3744,3744,7206,48,55
PARTIDA_0490_4ff963c3,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",72,1,2,1959,2609,6,7,26,27,6,7,9088,9486,9486,9088,87,64
PARTIDA_0491_1c9e40c8,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",82,1,2,1959,5319,7,7,30,30,7,7,4839,12426,12426,4839,32,79
PARTIDA_0492_d7374299,2025-11-03 08:41:37,EstrategiaAgresiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",34,0,2,1959,7278,4,4,14,15,4,4,936,7868,7868,936,18,30
PARTIDA_0493_1cf8e6fb,2025-11-03 08:41:37,EstrategiaDefensiva,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",162,1,2,1619,3619,13,16,55,59,13,16,13144,16890,16890,13144,76,176
